Pixel_X,Pixel_Y,World_X,World_Y
260.32428,176.13702,0.17113,-0.6613800000000001
285.93246,176.34969,0.15713,-0.6613800000000001
311.6638,176.49368,0.14312999999999998,-0.6613800000000001
337.38818,176.73557,0.12913,-0.6613800000000001
362.82898,176.94115,0.11512999999999998,-0.6613800000000001
388.43817,177.35832,0.10113,-0.6613800000000001
413.9022,177.44954,0.08712999999999999,-0.6613800000000001
439.4848,177.63243,0.07313,-0.6613800000000001
465.20325,177.6714,0.05912999999999999,-0.6613800000000001
490.7805,177.80205,0.045129999999999976,-0.6613800000000001
516.70984,177.75005,0.03112999999999999,-0.6613800000000001
542.498,177.93721,0.01712999999999998,-0.6613800000000001
568.55133,178.19907,0.003129999999999966,-0.6613800000000001
594.07764,178.38445,-0.01086999999999999,-0.6613800000000001
47.490074,199.65335,0.28313,-0.6473800000000001
74.31837,199.7725,0.26913,-0.6473800000000001
101.460434,200.0347,0.25512999999999997,-0.6473800000000001
128.34332,200.5285,0.24112999999999998,-0.6473800000000001
155.07193,200.64066,0.22713,-0.6473800000000001
181.78764,201.08675,0.21313,-0.6473800000000001
207.9667,201.41292,0.19912999999999997,-0.6473800000000001
234.24005,201.58057,0.18513,-0.6473800000000001
259.98923,201.7579,0.17113,-0.6473800000000001
285.95795,202.14568,0.15713,-0.6473800000000001
311.5544,202.36978,0.14312999999999998,-0.6473800000000001
337.33804,202.54141,0.12913,-0.6473800000000001
362.64386,202.6585,0.11512999999999998,-0.6473800000000001
388.4013,202.74696,0.10113,-0.6473800000000001
413.68472,203.13902,0.08712999999999999,-0.6473800000000001
439.31186,203.38104,0.07313,-0.6473800000000001
464.77975,203.42885,0.05912999999999999,-0.6473800000000001
490.59387,203.52505,0.045129999999999976,-0.6473800000000001
516.35913,203.63597,0.03112999999999999,-0.6473800000000001
542.3752,203.63434,0.01712999999999998,-0.6473800000000001
568.0031,203.7792,0.003129999999999966,-0.6473800000000001
593.761,203.9322,-0.01086999999999999,-0.6473800000000001
47.556007,225.9511,0.28313,-0.63338
74.17042,226.11765,0.26913,-0.63338
101.291374,226.36171,0.25512999999999997,-0.63338
128.26584,226.62253,0.24112999999999998,-0.63338
155.0788,226.6525,0.22713,-0.63338
181.62117,227.09174,0.21313,-0.63338
208.07957,227.25414,0.19912999999999997,-0.63338
234.01346,227.45317,0.18513,-0.63338
259.92883,227.48878,0.17113,-0.63338
285.6119,227.71288,0.15713,-0.63338
311.4631,227.75047,0.14312999999999998,-0.63338
337.06927,228.07028,0.12913,-0.63338
362.5927,228.29355,0.11512999999999998,-0.63338
388.06854,228.43579,0.10113,-0.63338
413.6211,228.56497,0.08712999999999999,-0.63338
439.06927,228.67119,0.07313,-0.63338
464.62817,228.80692,0.05912999999999999,-0.63338
490.3086,229.0163,0.045129999999999976,-0.63338
516.2305,229.21895,0.03112999999999999,-0.63338
541.7255,229.35147,0.01712999999999998,-0.63338
567.7994,229.3939,0.003129999999999966,-0.63338
593.5266,229.56236,-0.01086999999999999,-0.63338
47.32501,252.42702,0.28313,-0.61938
74.175766,252.5661,0.26913,-0.61938
101.242294,252.55498,0.25512999999999997,-0.61938
128.24297,252.81137,0.24112999999999998,-0.61938
154.98538,252.91985,0.22713,-0.61938
181.55424,252.9877,0.21313,-0.61938
207.83943,253.23807,0.19912999999999997,-0.61938
233.99329,253.38676,0.18513,-0.61938
259.76303,253.49008,0.17113,-0.61938
285.56995,253.52393,0.15713,-0.61938
311.40686,253.59105,0.14312999999999998,-0.61938
336.9239,253.69748,0.12913,-0.61938
362.54608,253.74985,0.11512999999999998,-0.61938
388.16428,254.06693,0.10113,-0.61938
413.50363,254.35042,0.08712999999999999,-0.61938
438.79367,254.36021,0.07313,-0.61938
464.4518,254.54562,0.05912999999999999,-0.61938
490.23117,254.60912,0.045129999999999976,-0.61938
515.7807,254.80302,0.03112999999999999,-0.61938
541.7812,254.95648,0.01712999999999998,-0.61938
567.5802,255.29466,0.003129999999999966,-0.61938
593.3569,255.4882,-0.01086999999999999,-0.61938
47.27224,278.78357,0.28313,-0.60538
73.975945,278.67188,0.26913,-0.60538
101.05079,278.92337,0.25512999999999997,-0.60538
127.93043,278.74692,0.24112999999999998,-0.60538
154.89752,278.83014,0.22713,-0.60538
181.41397,278.86417,0.21313,-0.60538
207.57285,278.8636,0.19912999999999997,-0.60538
233.74153,279.03104,0.18513,-0.60538
259.54535,279.0805,0.17113,-0.60538
285.4464,279.31738,0.15713,-0.60538
311.3373,279.3138,0.14312999999999998,-0.60538
336.66052,279.4571,0.12913,-0.60538
362.36545,279.4702,0.11512999999999998,-0.60538
387.72537,279.58765,0.10113,-0.60538
413.38376,279.57535,0.08712999999999999,-0.60538
438.64233,279.74527,0.07313,-0.60538
464.41162,279.9771,0.05912999999999999,-0.60538
489.8261,280.35828,0.045129999999999976,-0.60538
515.7579,280.3539,0.03112999999999999,-0.60538
541.52246,280.55414,0.01712999999999998,-0.60538
567.53345,280.7293,0.003129999999999966,-0.60538
593.01337,280.9745,-0.01086999999999999,-0.60538
47.07523,305.0471,0.28313,-0.59138
73.80916,305.10422,0.26913,-0.59138
100.77026,305.3078,0.25512999999999997,-0.59138
127.841576,305.10596,0.24112999999999998,-0.59138
154.47974,305.06537,0.22713,-0.59138
181.18274,304.95407,0.21313,-0.59138
207.51411,304.75302,0.19912999999999997,-0.59138
233.55548,304.73892,0.18513,-0.59138
259.48526,304.75653,0.17113,-0.59138
285.3432,304.8001,0.15713,-0.59138
311.18463,304.8026,0.14312999999999998,-0.59138
336.62878,305.09512,0.12913,-0.59138
362.24808,305.11603,0.11512999999999998,-0.59138
387.64832,305.3415,0.10113,-0.59138
413.2368,305.36624,0.08712999999999999,-0.59138
438.62137,305.41266,0.07313,-0.59138
464.2346,305.56638,0.05912999999999999,-0.59138
489.78778,305.6416,0.045129999999999976,-0.59138
515.63226,306.1108,0.03112999999999999,-0.59138
541.5697,306.34705,0.01712999999999998,-0.59138
567.38,306.50397,0.003129999999999966,-0.59138
593.02484,306.5199,-0.01086999999999999,-0.59138
47.026302,331.4489,0.28313,-0.57738
73.67278,331.43246,0.26913,-0.57738
100.56603,331.4293,0.25512999999999997,-0.57738
127.440735,331.30652,0.24112999999999998,-0.57738
154.32709,331.24136,0.22713,-0.57738
180.77885,330.78964,0.21313,-0.57738
207.36938,330.7185,0.19912999999999997,-0.57738
233.40329,330.62897,0.18513,-0.57738
259.38882,330.63217,0.17113,-0.57738
285.20255,330.59085,0.15713,-0.57738
310.94403,330.52728,0.14312999999999998,-0.57738
336.43723,330.60242,0.12913,-0.57738
362.13025,330.60712,0.11512999999999998,-0.57738
387.57187,330.67078,0.10113,-0.57738
413.0093,330.71365,0.08712999999999999,-0.57738
438.5133,330.97726,0.07313,-0.57738
464.30472,331.3428,0.05912999999999999,-0.57738
489.73474,331.4799,0.045129999999999976,-0.57738
515.65424,331.57532,0.03112999999999999,-0.57738
541.4795,331.93866,0.01712999999999998,-0.57738
567.3596,332.10168,0.003129999999999966,-0.57738
592.6579,332.3689,-0.01086999999999999,-0.57738
47.010197,357.56076,0.28313,-0.56338
73.561386,357.64856,0.26913,-0.56338
100.38639,357.5478,0.25512999999999997,-0.56338
127.326294,357.5211,0.24112999999999998,-0.56338
153.83649,357.37775,0.22713,-0.56338
180.52417,356.96802,0.21313,-0.56338
207.02957,356.5962,0.19912999999999997,-0.56338
233.34232,356.5581,0.18513,-0.56338
259.07196,356.48453,0.17113,-0.56338
285.0097,356.41083,0.15713,-0.56338
310.6163,356.36554,0.14312999999999998,-0.56338
336.41528,356.38736,0.12913,-0.56338
361.80548,356.35678,0.11512999999999998,-0.56338
387.4769,356.36517,0.10113,-0.56338
412.87042,356.47433,0.08712999999999999,-0.56338
438.54507,356.49683,0.07313,-0.56338
464.26202,356.69968,0.05912999999999999,-0.56338
489.78094,356.91974,0.045129999999999976,-0.56338
515.54767,357.3138,0.03112999999999999,-0.56338
541.41125,357.53027,0.01712999999999998,-0.56338
567.1275,357.5353,0.003129999999999966,-0.56338
592.52985,357.66718,-0.01086999999999999,-0.56338
46.953945,384.13684,0.28313,-0.54938
73.29375,384.13818,0.26913,-0.54938
100.23312,384.06717,0.25512999999999997,-0.54938
127.0101,383.69647,0.24112999999999998,-0.54938
153.52606,383.57108,0.22713,-0.54938
180.08095,383.45322,0.21313,-0.54938
206.67331,383.03656,0.19912999999999997,-0.54938
232.86646,382.66702,0.18513,-0.54938
258.66537,382.5041,0.17113,-0.54938
284.75485,382.50122,0.15713,-0.54938
310.54712,382.29132,0.14312999999999998,-0.54938
336.20065,382.2235,0.12913,-0.54938
361.87515,382.21704,0.11512999999999998,-0.54938
387.42007,382.32245,0.10113,-0.54938
412.95477,382.31186,0.08712999999999999,-0.54938
438.41214,382.4942,0.07313,-0.54938
464.21213,382.72897,0.05912999999999999,-0.54938
489.7849,382.92538,0.045129999999999976,-0.54938
515.54175,383.0824,0.03112999999999999,-0.54938
541.3649,383.47086,0.01712999999999998,-0.54938
567.0336,383.48834,0.003129999999999966,-0.54938
592.4385,383.45654,-0.01086999999999999,-0.54938
46.92301,410.3943,0.28313,-0.53538
73.49223,410.48514,0.26913,-0.53538
99.97024,410.28278,0.25512999999999997,-0.53538
126.71696,410.04318,0.24112999999999998,-0.53538
153.30789,409.6379,0.22713,-0.53538
179.86368,409.59085,0.21313,-0.53538
206.26656,409.37292,0.19912999999999997,-0.53538
232.54318,408.90518,0.18513,-0.53538
258.56128,408.63522,0.17113,-0.53538
284.50922,408.54077,0.15713,-0.53538
310.33694,408.4061,0.14312999999999998,-0.53538
336.11664,408.26147,0.12913,-0.53538
361.57697,408.17612,0.11512999999999998,-0.53538
387.41946,408.2519,0.10113,-0.53538
412.76062,408.31998,0.08712999999999999,-0.53538
438.63934,408.484,0.07313,-0.53538
464.23706,408.49716,0.05912999999999999,-0.53538
489.90262,408.62067,0.045129999999999976,-0.53538
515.5539,409.0117,0.03112999999999999,-0.53538
541.32117,408.85812,0.01712999999999998,-0.53538
566.64526,409.1643,0.003129999999999966,-0.53538
592.3457,408.86453,-0.01086999999999999,-0.53538
46.999123,436.46744,0.28313,-0.5213800000000001
73.50211,436.54007,0.26913,-0.5213800000000001
99.972786,436.53387,0.25512999999999997,-0.5213800000000001
126.576004,436.38504,0.24112999999999998,-0.5213800000000001
153.1637,436.25006,0.22713,-0.5213800000000001
179.52269,435.8298,0.21313,-0.5213800000000001
205.95537,435.46094,0.19912999999999997,-0.5213800000000001
232.38876,435.25894,0.18513,-0.5213800000000001
258.43594,434.89917,0.17113,-0.5213800000000001
284.35306,434.6111,0.15713,-0.5213800000000001
310.24878,434.55063,0.14312999999999998,-0.5213800000000001
335.80362,434.4041,0.12913,-0.5213800000000001
361.568,434.2272,0.11512999999999998,-0.5213800000000001
387.32678,434.2545,0.10113,-0.5213800000000001
412.9031,434.3632,0.08712999999999999,-0.5213800000000001
438.56534,434.5135,0.07313,-0.5213800000000001
464.30145,434.53336,0.05912999999999999,-0.5213800000000001
489.76904,434.5934,0.045129999999999976,-0.5213800000000001
515.55176,434.54865,0.03112999999999999,-0.5213800000000001
541.08923,434.52454,0.01712999999999998,-0.5213800000000001
566.5451,434.5145,0.003129999999999966,-0.5213800000000001
591.8434,434.5993,-0.01086999999999999,-0.5213800000000001
